1,6	37,6	0,6	2,6	17,6	30,6	22,6	49,6	15,6	20,6	
11,6	4,6	2,6	49,6	20,6	25,6	21,6	29,6	-1,6	-1,6	
17,6	43,6	40,6	30,6	22,6	49,6	15,6	20,6	25,6	21,6	
27,6	3,6	41,6	30,6	22,6	49,6	15,6	18,6	20,6	25,6	
42,6	15,6	23,6	30,6	22,6	49,6	20,6	25,6	21,6	29,6	
32,6	19,6	46,6	13,6	30,6	22,6	49,6	18,6	20,6	25,6	
8,6	18,6	13,6	30,6	22,6	49,6	20,6	25,6	21,6	29,6	
14,6	34,6	30,6	22,6	49,6	20,6	25,6	21,6	29,6	24,6	
7,6	22,6	6,6	49,6	20,6	25,6	21,6	29,6	24,6	26,6	
28,6	45,6	12,6	49,6	20,6	25,6	21,6	29,6	24,6	33,6	
